"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","01-JUN-26","01-JUN-26","01:21:00Z","SALT LAKE CITY","UTAH","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED DAMAGE TO RIGHT WING LEADING EDGE, SALT LAKE CITY, UT.","INCIDENT","SALT LAKE CITY FSDO","N237QS","","NETJETS","BOMBARDIER","CL-600-2B16","No","UNKNOWN","ON DEMAND","APPROACH (APR)","135","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","29-MAY-26","18:36:00Z","BARTLESVILLE","OKLAHOMA","UNITED STATES","AIRCRAFT GROUND LOOPED ON LANDING, BARTLESVILLE, OK.","INCIDENT","WILL ROGERS FSDO","N11JP","","","EXPERIMENTAL","PITTS SPECIAL S-1S","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","31-MAY-26","21:28:00Z","SHERIDAN","ARKANSAS","UNITED STATES","AIRCRAFT LANDED ON A HIGHWAY DUE TO FUEL EXHAUSTION AND RIGHT WING STRUCK A SIGN, SHERIDAN, AR.","INCIDENT","LITTLE ROCK FSDO","N23RA","","","EXPERIMENTAL","ACRO SPORT II","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","28-MAY-26","19:40:00Z","FULSHEAR","TEXAS","UNITED STATES","AIRCRAFT STRUCK A PERIMETER FENCE WITH MAIN GEAR DURING TOUCH AND GO, FULSHEAR, TX.","INCIDENT","HOUSTON FSDO","N160MT","","","EXPERIMENTAL","MUSTANG II","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","31-MAY-26","01:13:00Z","PHOENIX","ARIZONA","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED ON LANDING INCURRING A PROP STRIKE, PHOENIX, AZ.","INCIDENT","SCOTTSDALE FSDO","N447AV","","WESTWIND SCHOOL OF AERONAUTICS","CIRRUS","SR20","No","MINOR","FAR 141 PILOT SCHOOL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","05-JUN-26","04-JUN-26","15:00:00Z","LIVINGSTON","TENNESSEE","UNITED STATES","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, LIVINGSTON, TN.","INCIDENT","NASHVILLE FSDO","N712JZ","","","BEECH","58","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","07-JUN-26","19:18:00Z","LA ROMANA","DOMINICAN REPUBLIC","DOMINICAN REPUBLIC","AIRCRAFT ON LANDING, EXPERIENCED ENGINE FAILURE AND POST CRASH FIRE, LA ROMANA, DOMINICAN REPUBLIC.","ACCIDENT","MIAMI IFO","N318JF","","","ISRAEL AIRCRAFT","GULFSTREAM 200","No","DESTROYED","PERSONAL","LANDING (LDG)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","05-JUN-26","16:38:00Z","JAFFREY","NEW HAMPSHIRE","UNITED STATES","AIRCRAFT CRAHSED SHORTLY AFTER TAKEOFF DUE TO ENGINE ISSUES, JAFFREY, NH.","ACCIDENT","PORTLAND ME FSDO","N28YD","","","SONEX","SONEX","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-26","05-JUN-26","17:15:00Z","SANTA TERESA","NEW MEXICO","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND CAME TO REST IN A DITCH, SANTA TERESA, NM.","ACCIDENT","ALBUQUERQUE FSDO","N54CC","","","CESSNA","P210","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","SERIOUS","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2"
"No","08-JUN-26","06-JUN-26","19:10:00Z","ORLANDO","FLORIDA","UNITED STATES","AIRCRAFT CONDUCTING A TOUCH-AND-GO AND CRASHED AFTER DEPARTURE, ORLANDO, FL.","ACCIDENT","ORLANDO FSDO","N156KA","","","CESSNA","150","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
